created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2022-03-24T14:11:05+05:30,1,33.00,15.00,"30.68

",,,,
2022-03-24T14:11:35+05:30,2,33.10,16.00,"30.81

",,,,
2022-03-24T14:11:50+05:30,3,33.10,16.00,"30.81

",,,,
2022-03-24T14:12:05+05:30,4,33.10,15.00,"30.77

",,,,
2022-03-24T14:12:35+05:30,5,33.10,16.00,"30.81

",,,,
2022-03-24T14:12:50+05:30,6,33.10,17.00,"30.86

",,,,
2022-03-24T14:13:05+05:30,7,33.10,16.00,"30.81

",,,,
2022-03-24T14:13:35+05:30,8,33.20,19.00,"31.07

",,,,
2022-03-24T14:14:05+05:30,9,33.20,16.00,"30.90

",,,,
2022-03-24T14:14:35+05:30,10,33.20,16.00,"30.90

",,,,
2022-03-24T14:15:05+05:30,11,33.20,16.00,"30.90

",,,,
2022-03-24T14:15:35+05:30,12,33.10,15.00,"30.77

",,,,
2022-03-24T14:16:05+05:30,13,33.10,15.00,"30.77

",,,,
2022-03-24T14:16:35+05:30,14,33.10,15.00,"30.77

",,,,
2022-03-24T14:17:05+05:30,15,33.10,15.00,"30.77

",,,,
2022-03-24T14:17:35+05:30,16,33.10,15.00,"30.77

",,,,
2022-03-24T14:18:05+05:30,17,33.10,15.00,"30.77

",,,,
2022-03-24T14:18:35+05:30,18,33.10,15.00,"30.77

",,,,
2022-03-24T14:19:05+05:30,19,33.10,15.00,"30.77

",,,,
2022-03-24T14:19:35+05:30,20,33.00,15.00,"30.68

",,,,
2022-03-24T14:19:50+05:30,21,33.00,16.00,"30.72

",,,,
2022-03-24T14:20:05+05:30,22,33.00,16.00,"30.72

",,,,
2022-03-24T14:20:35+05:30,23,33.00,16.00,"30.72

",,,,
2022-03-24T14:20:50+05:30,24,33.00,16.00,"30.72

",,,,
2022-03-24T14:21:05+05:30,25,33.00,15.00,"30.68

",,,,
2022-03-24T14:21:35+05:30,26,33.00,15.00,"30.68

",,,,
2022-03-24T14:21:50+05:30,27,33.00,15.00,"30.68

",,,,
2022-03-24T14:22:05+05:30,28,33.00,15.00,"30.68

",,,,
2022-03-24T14:22:35+05:30,29,33.00,14.00,"30.65

",,,,
2022-03-24T14:22:50+05:30,30,33.00,15.00,"30.68

",,,,
2022-03-24T14:23:20+05:30,31,33.00,14.00,"30.65

",,,,
2022-03-24T14:23:50+05:30,32,33.00,14.00,"30.65

",,,,
2022-03-24T14:24:20+05:30,33,33.10,15.00,"30.77

",,,,
2022-03-24T14:24:35+05:30,34,33.10,16.00,"30.81

",,,,
2022-03-24T14:24:50+05:30,35,33.10,16.00,"30.81

",,,,
2022-03-24T14:25:20+05:30,36,33.10,16.00,"30.81

",,,,
2022-03-24T14:25:50+05:30,37,33.10,16.00,"30.81

",,,,
2022-03-24T14:26:05+05:30,38,33.10,16.00,"30.81

",,,,
2022-03-24T14:26:35+05:30,39,33.10,15.00,"30.77

",,,,
2022-03-24T14:27:05+05:30,40,33.10,15.00,"30.77

",,,,
2022-03-24T14:27:20+05:30,41,33.10,14.00,"30.74

",,,,
2022-03-24T14:27:50+05:30,42,33.10,14.00,"30.74

",,,,
2022-03-24T14:28:20+05:30,43,33.10,14.00,"30.74

",,,,
2022-03-24T14:28:50+05:30,44,33.10,15.00,"30.77

",,,,
2022-03-24T14:29:20+05:30,45,33.10,14.00,"30.74

",,,,
2022-03-24T14:29:50+05:30,46,33.10,14.00,"30.74

",,,,
2022-03-24T14:30:05+05:30,47,33.10,14.00,"30.74

",,,,
2022-03-24T14:30:35+05:30,48,33.10,14.00,"30.74

",,,,
2022-03-24T14:30:50+05:30,49,33.10,14.00,"30.74

",,,,
2022-03-24T14:31:20+05:30,50,33.10,14.00,"30.74

",,,,
2022-03-24T14:31:50+05:30,51,33.10,13.00,"30.72

",,,,
2022-03-24T14:32:05+05:30,52,33.10,13.00,"30.72

",,,,
2022-03-24T14:32:20+05:30,53,33.10,14.00,"30.74

",,,,
2022-03-24T14:32:50+05:30,54,33.10,14.00,"30.74

",,,,
2022-03-24T14:33:20+05:30,55,33.10,13.00,"30.72

",,,,
2022-03-24T14:33:50+05:30,56,33.10,13.00,"30.72

",,,,
2022-03-24T14:34:05+05:30,57,33.10,13.00,"30.72

",,,,
2022-03-24T14:34:35+05:30,58,33.10,11.00,"30.44

",,,,
2022-03-24T14:34:50+05:30,59,33.10,11.00,"30.44

",,,,
2022-03-24T14:35:20+05:30,60,33.20,10.00,"30.40

",,,,
2022-03-24T14:35:50+05:30,61,33.20,11.00,"30.52

",,,,
